locationLongitude(WGS84),locationLatitude(WGS84),locationSpeed(m/s),accelerometerAccelerationX(G),accelerometerAccelerationZ(G)
24.8049816,60.1683601,3,0,-1
24.80497,60.1684,3,0,-1
24.8046,60.16841,3,0,-1
24.8045,60.16841,3,0,-1
24.80432,60.1684,3,0,-1
24.80357,60.16838,3,0,-1
24.80349,60.16837,3,0,-1
24.80347,60.16837,3,0,-1
24.80337,60.16837,3,0,-1
24.80325,60.16837,3,0,-1
24.80317,60.16837,3,0,-1
24.8031717,60.1683685,3,0,-1
24.80311,60.16848,3,0,-1
24.80304,60.16865,3,0,-1
24.80299,60.16879,3,0,-1
24.80297,60.16884,3,0,-1
24.80296,60.16888,3,0,-1
24.80295,60.16891,3,0,-1
24.80294,60.16895,3,0,-1
24.8029,60.16907,3,0,-1
24.80285,60.16925,3,0,-1
24.80277,60.16946,3,0,-1
24.80276,60.16949,3,0,-1
24.80273,60.16958,3,0,-1
24.80271,60.16966,3,0,-1
24.80269,60.16972,3,0,-1
24.80268,60.16979,3,0,-1
24.80267,60.16983,3,0,-1
24.80264,60.16993,3,0,-1
24.80252,60.17041,3,0,-1
24.80248,60.17058,3,0,-1
24.80244,60.17073,3,0,-1
24.80243,60.17085,3,0,-1
24.80234,60.17151,3,0,-1
24.80229,60.1716,3,0,-1
24.80224,60.17235,3,0,-1
24.80222,60.17255,3,0,-1
24.80206,60.17294,3,0,-1
24.8019,60.1732,3,0,-1
24.80177,60.17342,3,0,-1
24.80168,60.17361,3,0,-1
24.80163,60.1737,3,0,-1
24.80159,60.17378,3,0,-1
24.80149,60.17376,3,0,-1
24.8014866,60.1737616,3,0,-1
