time,N,ts,lat,lng,alt,speed,gps_v_accuracy,gps_h_accuracy,acc_ts,acc_x,acc_y,acc_z
0,0,0,60.17842170000001,24.7988642,0,3,0,0,0,0,0,-1
0,0,0,60.1783,24.7989,0,3,0,0,0,0,0,-1
0,0,0,60.17768,24.799310000000002,0,3,0,0,0,0,0,-1
0,0,0,60.17746999999999,24.79938,0,3,0,0,0,0,0,-1
0,0,0,60.17736,24.799429999999997,0,3,0,0,0,0,0,-1
0,0,0,60.17719,24.79952,0,3,0,0,0,0,0,-1
0,0,0,60.176669999999994,24.7998,0,3,0,0,0,0,0,-1
0,0,0,60.17666,24.79981,0,3,0,0,0,0,0,-1
0,0,0,60.17625,24.80004,0,3,0,0,0,0,0,-1
0,0,0,60.176219999999994,24.800060000000002,0,3,0,0,0,0,0,-1
0,0,0,60.17589,24.80023,0,3,0,0,0,0,0,-1
0,0,0,60.1756,24.80038,0,3,0,0,0,0,0,-1
0,0,0,60.17531999999999,24.800539999999998,0,3,0,0,0,0,0,-1
0,0,0,60.175290000000004,24.80055,0,3,0,0,0,0,0,-1
0,0,0,60.17519,24.80061,0,3,0,0,0,0,0,-1
0,0,0,60.17515,24.800629999999998,0,3,0,0,0,0,0,-1
0,0,0,60.17503000000001,24.80069,0,3,0,0,0,0,0,-1
0,0,0,60.17488,24.80076,0,3,0,0,0,0,0,-1
0,0,0,60.17476,24.800829999999998,0,3,0,0,0,0,0,-1
0,0,0,60.174519999999994,24.80092,0,3,0,0,0,0,0,-1
0,0,0,60.174518000000006,24.800920899999998,0,3,0,0,0,0,0,-1
0,0,0,60.17443000000001,24.80096,0,3,0,0,0,0,0,-1
0,0,0,60.17431,24.80104,0,3,0,0,0,0,0,-1
0,0,0,60.174119999999995,24.80115,0,3,0,0,0,0,0,-1
0,0,0,60.17377,24.801379999999998,0,3,0,0,0,0,0,-1
0,0,0,60.17375,24.801389999999998,0,3,0,0,0,0,0,-1
0,0,0,60.173759999999994,24.80149,0,3,0,0,0,0,0,-1
0,0,0,60.173761600000006,24.8014866,0,3,0,0,0,0,0,-1
