time,N,ts,lat,lng,alt,speed,gps_v_accuracy,gps_h_accuracy,acc_ts,acc_x,acc_y,acc_z
0,0,0,60.174279500000004,24.810355100000002,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.17426999999999,24.81026,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.17425,24.80997,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.2,0,-0.8
0,0,0,60.174240000000005,24.80966,0,3,0,0,0,0.0,0,-1.0
